review_id,text,user_id,date,business_id,stars,name
o9GceEnsuzhtfNPQG_ZYEA,"Absolutely loved the food and atmosphere!! I ordered the BLT with sweet potato fries! The bacon is super thick and delicious! Although the other food looks amazing, I cannot resist that BLT, so I will be back!!",NkgvGL4p5cvWG_CHk7yJpA,2021-12-04 20:37:05,4ihK-CfFXNVIxN_twd63ZQ,5,Julia
xfBsxB4J96HAB6OSA60HUw,"I absolutely love Slapfish, and since the raw bar is owned by the same people and attached to the Slapfish on Mass ave we decided to try it. A little different than Slapfish,  as this is a sit down restaurant not order at the counter. Our waitress seemed a little stand offish at first and it seemed like it took a little long for our appetizers to come out, (the restaurant was not busy, as we got there early) but once we ordered dinner everything seemed to be on track. I was a little disappointed with the lack of flavor in my burrito. Not a great first experience, however, I'm willing to go back and try another dish simply because I've been so happy with everything I've ever ordered from Slapfish along with the service!",kdUnqQGfvMqNTN2UyVjFwQ,2021-12-13 19:43:35,4ihK-CfFXNVIxN_twd63ZQ,4,Andrea
pwgn5P-RuWfLpgmMFneGAg,Had dinner here last night and really enjoyed it. There were about 12 of us and our server was Amie who did an awesome job. Several other staff helped keep an eye on us and the evening went really smoothly.  There are plenty of great options but definitely start with some of the raw oysters! They come with 3 different sauces. The bowl of clam chowder was probably the largest I've seen and got excellent reviews. I had the poke which was fresh with large chunks. It came with tortilla chips and it would have been nice to have a greens or seaweed salad option but that's just a personal taste. Others had the lobster avocado toast and lobster press. Everyone was happy with their meals and want to come back to try more. There is quite a variety of fun specialty drinks and beers to try as well.We had a birthday in our party and staff went out of their way to come up with a surprise dessert of bread pudding with ice cream. They don't have a dessert menu so we really appreciate them going above and beyond for a great evening!,ZLBWZaDQ0yYkNK9dfDYwpg,2021-12-08 19:31:57,4ihK-CfFXNVIxN_twd63ZQ,5,Laura
9wB1dLnhWOIqsag5KiuL6w,"Was so excited to try this with my girlfriend! Very fun & modern aesthetic/vibe to the place. We went on a Thursday evening during their soft opening and it was somewhat busy but not packed. Service was slow...we were there for probably an hour and a half / almost two hours in total. Our waitress seemed very distracted training another employee but then she was also just kind of standing behind the bar so I was confused. We didn't place our order until sitting for probably 45minutes. Which isn't a big deal since I was with a friend and we were enjoying our time but still something they should work out probably.Redemption season....Food was excellent. Lobster Tots were delish. Picture a fried Mac and cheese ball but a crab cake (lobster) filling. With their 'awesome sauce'. They were indeed awesome I don't do oysters but my friend had 3 different types, both from west coast and east coast and she enjoyed them all. We also had the Lobster Press and lobster Mac and cheese, and salads and it was bomb!! Will be back for sure, hoping they can smooth out the service kinks!!",N2pRk2AVnOLWSD-5GKvOyA,2021-11-19 15:49:51,4ihK-CfFXNVIxN_twd63ZQ,4,Marissa
rGecxr13-M6UvIIB30sOBw,All I can say is wow! This place being such a hit should come as no surprises since Slapfish is so great but I was very pleased with my experience. Had the opportunity to try raw bar for brunch and had a blast. The food was amazing and the drinks did not disappoint. The atmosphere and setting is also super appealing. This restaurant has an overall great vibe to it & I absolutely can't wait to go back and try more items on the menu. My only suggestions would be maybe adding some music. This place would be so fun with good tunes playing while we chow on our seafood. Also our server seemed pretty annoyed and it took forever just to get water but it was a pretty busy so I'll give them a pass. Do yourself a favor and plan your next outing at raw bar!,GvqO4NpNYIUoiTgWkEUgBQ,2021-12-06 04:23:15,4ihK-CfFXNVIxN_twd63ZQ,5,Shakara
-s8xMKFF2L3HOGrzxA32vQ,"On Wednesday I enjoyed the lobster roll next door at Slapfish. With friends in tow we ventured next door into the full service Raw Bar and were thrilled.On a sleepy Sunday night before a concert, we started with interesting cocktails, lobster deviled eggs and oysters. We appreciated the artful presentation and taste. The huge bowl of clam chowder was one of the best I've ever had. The wedge with shrimp was huge with plenty of shrimp and taste. If I had a complaint it would be that the servings were large despite a small plate billing and price.  It was a terrific dinner, delightful service and an enjoyable evening!",q8uRrEuV_nwa-G5Gjo1hRA,2021-11-08 00:13:42,4ihK-CfFXNVIxN_twd63ZQ,5,Sally
i3aQsOe3Sshs2k4w15cIWA,"So I thought it would come here Saturday and try their brunch. It was about twenty degrees out that morning and I got to the restaurant at about 11:15. There was one other table in the restaurant when I got there. I did find that their hours were longer than I thought so that was a good thing. They were open until midnight! So there was no need to hurry to finish.Since the restaurant was empty they just told me pick where I wanted to sit so I sat up front by the windows. It was a very beautiful restaurant.My waitress came to the table with water service and was attentive and answered what questions I had. I decided to order the Mimosa flight and the lobster omelette.For the Mimosa flight I ordered the passion fruit, cranberry rosemary, the pear ginger, and the bellini. It was nice to sit and gaze out the windows onto Mass Avenue and enjoy my cocktails.My lobster omelette came in it was accompanied by thin sliced potatoes and some steamed tomatoes. The potatoes were definitely greasy and didn't think the tomato was needed. The lobster omelette was perfectly cooked and had plenty of lobster in it. I would have liked a nice crunchy bread with butter on the side along with that fluffy omelette.It did take me a little longer to finish my cocktails but finish them I did. My favorite was the Raw Bar Bellini and it consisted of champagne peach liqueur and peach puree. My least favorite was the cranberry rosemary it was just a little too tart for me. I will be back in to try it again.",INQotNgqr7-Q8e2o7X0uBA,2022-01-18 22:29:46,4ihK-CfFXNVIxN_twd63ZQ,4,Tyanna
CcT1Q5aJ7Ckxnt4KFrsQ_A,"This is by far the best raw bar I've been to in the Midwest. No exaggeration. The oyster menu was divine, and the brunch menu incorporated other seafood like lobster and crab seamlessly. I was extremely impressed, and this is coming from a native Floridian! Would return!",3nK_bdMK24Q_wlyNz-SGKw,2021-12-19 18:16:20,4ihK-CfFXNVIxN_twd63ZQ,5,Kendra
Y-8La7_lk6kHp3yCaCCUlg,"Whenever I want seafood I know I can always count on slapfish to be my go to place. Everything is always so fresh here and they do a great job at creating unique menu items (lobster avocado toast? I'm in!) While the raw bar menu is a little smaller than the normal slapfish menu, there is still something for all seafood lovers. I loved the decor of the inside and was happy to see this location on mass ave! We decided on an early dinner and the restaurant was pretty quiet so if you don't have a reservation, get there early because it got busy as the evening went on. The only thing holding me back from the 5 star was the service. Our waitress didn't seem too interested in serving us and mentioned grabbing everything in one visit so she wouldn't have to come back. I don't think she meant it in an intentional bad way but it kind of came across like that just with the initial service. Overall the food was good, as always, and it will continue to be my seafood recommendation to others!",wmdDs2XtJGp1NDWocZDPaw,2021-12-16 18:38:38,4ihK-CfFXNVIxN_twd63ZQ,4,Lauren
d4TcSfwyATWdkOngpy0nEg,"The Raw Bar by Slapfish sits right next-door to the Slapfish restaurant. There is a walk-through between the restaurants, but each has they're very own unique setting and menu. We have been anticipating the opening, since we are big fans of Slapfish and did not realize when we came by this week that it was their soft opening week. Everything was amazing! We will be back regularly as there is really nothing that compares in Indy. Seafood is very fresh, the atmosphere is trendy, service was amazing, and the food and drinks are awesome!We started out with two cocktails: the Indiana 75 which had hints of lavender and dried lavender sprinkled on top. It was herbaceous and slightly sweet and my husband really enjoyed it. I opted for the Corpse Reviver #2, even though I hesitated because it had absinthe in it. The waitress checked with the bar manager  and quickly assured me that it was not overly heavy with licorice flavor and that it was only slightly sweet, but also tart drink. I am so glad I ordered it! The bar manager's description was spot on and this is one of the best cocktails I've had. My husband and I shared the Clobster cakes which were nice sized crab and lobster cakes that were not full of filler. These cakes were full of meat! They came out warm with a really nice aïoli type sauce and were bigger than we were expecting! We also had the sweet shrimp Arancini. Crispy balls of rice and shrimp fried with a sweet soy type sauce on the side. It also came with a cabbage salad that was also sweet and creamy with some crunchy bits in it. This will be something I definitely order over and over. The flavors were unbelievable. Last, we got a smoked fish plate. Let me tell you, I am from Canada and we eat a lot of fresh, homemade smoked fish right from the water. Although they don't smoke it in the house, they clearly by the best of the best. The smoked salmon and other white fish that came on the plate were perfectly smoked and in a nice portion. They came served with a nice stone ground mustard, aioli, pickled onions and caper berries - as well as crostini. My husband almost ordered another plate, but we were pretty full. We can't wait to come back and eat oysters. They had six types that they will shuck on the spot. They also have their signature lobster roll and a few other items that are available next-door at Slapfish, but ultimately this place offers a whole new menu that is more in line with dinner type options.The atmosphere is really pretty and trendy. It's not a large restaurant, but they do have a bar as well as at least one table that seats approximately 6 to 8 people.",ItrM5BrIRsEr_pSAzM7Gcw,2021-11-05 21:10:00,4ihK-CfFXNVIxN_twd63ZQ,5,Angie
