business_id,name,ranking,score, city,latitude,longitude,address
"22Zhfb78DHpyDlAAnfU1LQ",Bringles Smoking Oasis,1,4.328505502,Nashville,36.1623195,-86.8469936,"4901 Centennial Blvd, Nations"
"00FlwcHcngPcmMHzUnXetA",The Authentique,2,4.272724857,Nashville,36.1877579617,-86.7463213882,"925 Gallatin Ave"
qepgYnobwEyWr4oAfDDhyw,Succulent Vegan Tacos,3,4.122096092,Nashville,36.1706189,-86.7888584,"900 Rosa L Parks Blvd"
KPofPh5SmzKumg-PpbAEYw,Frida’s Oaxacan Cuisine,4,4.088903884,Nashville,36.1194859,-86.7491146,"2424 Nolensville Pike"
jf2eOxyT1tlA1lyqKavPXA,Calacas Mexican Cuisine,5,4.085465268,Nashville,36.1563043,-86.7755399,"411 Korean Veterans Blvd"
a7XBfJd0aEo-UpPXetH2JA,Taqueria El Gym,6,4.054736188,Nashville,36.1110416835,-86.742458376,"234 Thompson Ln"
uPsFg_EG4sgrkimoRrBNOA,Family Tacos,7,4.033979096,Nashville,36.1526501817,-86.8389412961,"4304 Charlotte Ave"
qp7cJWwx5-j45fLGLYsn_Q,Pokeworks,8,4.0044159,Nashville,36.1632989,-86.7910443,"416 11th Ave N"
Y8djj3w2NPUkR5PoXwM4cA,Boston Commons,9,3.970016524,Nashville,36.17697293,-86.7508104023,"1008 Woodland St, Ste A"
PRK5CTAOyidhiICu5fZwdg,Koi Sushi & Thai Midtown,10,3.944030288,Nashville,36.15095,-86.80481,"2214 Elliston Pl"
