review_id,text,user_id,date,business_id,stars,name
C2xlJlysptJzE3eH8evaXw,"Wow! This place is exceptional! From the starter salads to the flavorful mussels-- I could hardly wait for the main course. :) I enjoyed the blackened salmon, my husband got the signature fish n' chips, and my 2 year old son got the linguini with marinara and meatballs. We were in HEAVEN! Everything came out piping hot and was perfectly cooked. It was a wonderful way to end Mother's Day! Boston Commons, we cannot wait to come back!",4R0VR2obUUbieOf19apCxA,2021-05-11 01:20:49,Y8djj3w2NPUkR5PoXwM4cA,5,Marissa
WIYMbFKeBF5VU9U06QnQeQ,One of the best fish and chips I had in town! I highly recommend the British style. The staff is super nice.,EYu-aPrJ5rT1wrfBVgCGXg,2021-07-18 17:21:09,Y8djj3w2NPUkR5PoXwM4cA,5,Mathieu
nmSftuuskmUaWO4--mSE3Q,"Lucky to find this spot, was intending to goto the Treehouse but it was too busy. Thank god. I had the best lobster roll and the Guinness was amazing too! Fries which I shouldn't eat were awesome. My wife had the Salmon and she loved it. Must stop. The Bar staff was fantastic! Great atmosphere.One last thought get the Boston Cream Pie!! Holy cow!",oGAzmfFcCPNwFjRvVZjG2g,2021-05-01 01:15:47,Y8djj3w2NPUkR5PoXwM4cA,5,Tim
kzJH9p7XGTnNo9bwaw_Y4Q,Flawless experience. We came in close to when the kitchen closed and they were so friendly and accommodating to us. Michael was our server and did a fantastic job taking care of us so late. We appreciate Boston Commons for being a reliable local spot with great food and service.,_6sJEArMwrsRwHCeI9UR5Q,2021-06-13 21:50:52,Y8djj3w2NPUkR5PoXwM4cA,5,MaryKate
s7MwoF0PUwfivrLxDDYPJQ,Boston Commons brings that authentic feel to the heart of east nashville. The seafood filled menu is a nice reprieve from the southern delicacies dishes out across the city. I tried out the New England fish and chips (one of three variations) which came recommended from the staff. The fish came out beautifully golden brown and extremely crunchy. I felt like the breading was a little overpowering but it was a very solid portion of fish. The fries came in a paper bag and were a rather small portion compared to the fish. Everything became a bit hard to eat due to the small plate the meal was served on. Overall though Boston Commons is bringing some diversity to Nashville with a pretty authentic dive in New England fare.,5xWf4juNyKMKpB3PGgmtkw,2021-05-19 15:32:56,Y8djj3w2NPUkR5PoXwM4cA,4,Grant
-VL80FL9aOvPUHtjW_2R2g,"The best fish and chips this side of Boston, although I'm pretty sure these guys could give  those New Englanders a run for their money. I really enjoyed their brand new large outdoor patio, it's the perfect place to grab an afternoon drink and some snacks or sit with a big family and eat dinner. The service was beyond excellent, they were attentive without being annoying, which can sometimes be a difficult balance. Now to get the most important part, the food. The fish and chips sampler (cod, haddock, pollack)  blew my mind. They've always had the best fish and chips but their revamped version where you can try all three at the same time was both a fun and tasty exploration. You could even tell that their tartar sauce was homemade. The only critique that we had was that we probably could use more chipson the platter. I think they're the only place in town with frozen lemonade, which you can get in a grown-up version (aka with booze) or just a yummy summer drink for your kids. In the mood for a delicious rum drink? Try the patriot punch it's refreshing yet Boozy at the same time. Or give the southern Mule a try, A perfect southern cocktail with a peachy twist. There is no way you can go wrong with stopping at this place for dinner, drinks, snacks, or anything in between.",6fXwEH_F3ascljjmS1oCVQ,2021-03-21 23:59:15,Y8djj3w2NPUkR5PoXwM4cA,5,Kelsey
vr0-vy38AVSa2UB7uhOTyw,"I had the BEST experience with Joseph and the rest of the hard working, attentive staff at Boston Commons tonight. I was desperately craving fish and chips but Google Maps incorrectly said they were closed. When I called, Joseph was incredibly kind and let me order online even during the dinner rush. I arrived on the early side of my pick up time and the order wasn't quite ready, but the staff was so sweet, seating me at a table with unsweetened ice tea (and lemon!) while I waited. Once I got my order home, the fries were perfectly salty and a little bit soft (my favorite way for fries to be) and the Signature Fish was perfect!  I will definitely come back whenever my fish and chips craving strikes again.",ngQK_l9ubujkh8_0nfI_4w,2021-05-01 02:14:24,Y8djj3w2NPUkR5PoXwM4cA,5,Meg
MR2YqumbrpUY4AV25t5kxg,"I've been a Red Sox fan for years, and thought it would be fun to meet a friend here to watch the game with other Sox fans. It would've been with a different bartender. We sat down and she began wiping off the bar for us. I pointed out a small puddle behind the beer pours I didn't think she would see. ""Don't do that"" she said fiercely. Embarrassed, I Immediately apologized Explaining that I didn't think she could see it from where she stood. ""I see everything"" she claimed, and I felt scolded. I was scolded again for asking for a menu while she was still wiping up. I was told to be patient. The food was a long time coming. Around the sixth inning I needed water. My friend waved his arm to get her attention. Even more fiercely this time came another scolding and ""don't do that, my name is Crystal"". None of these scoldings was accompanied by a smile. She forgot the water. It was half an inning later, when she had walked passed us 5-6 times that she remembered. By now I just wanted her to evaporate so I kept my eyes on the game and ignored her. She noticed and switched to a suck up. Fawning over me when I no longer wanted to be there. I asked for the check. She didn't charge me for my second glass of wine. I doubt she paid for that out of her tips. I'm writing this because I regret not stiffing her. If you visit this bar call first to make sure it's Crystal's night off.",B-4ZlTr2nb-m9erCa-iX8Q,2021-10-16 13:48:26,Y8djj3w2NPUkR5PoXwM4cA,3,Very
tySzuoVV-8WPyofP1Y1Uag,"Very pleasant service. Welcoming and accommodating staff.They got our order wrong and fell over themselves to fix it.Food was tasty but ... breading is too thick and was too salty today. Fish was good, haddock a little dry. Shrimp , clams, oysters and scallops were all cooked correctly and tasty (breading still too thick).Introduced me to a new wine, Hive & Honey, which I enjoyed.",UY0yFZduykp8t8fnJ8_-hg,2021-05-08 00:46:01,Y8djj3w2NPUkR5PoXwM4cA,4,Patrick
4pVBM-cwnlVvLhtULxQQog,Went to dinner at Boston Commons. We thought we were going to a different restaurant located at that location but it had closed down and a new one had opened. Boston Commons took the place of that restaurant so we stayed. The food was good with the exception of the clam chowder. My cousin had to ask for warm cream to cut down the clam chowder because it was thick like paste. Otherwise everything was really good the atmosphere was kind of bland but nobody was in there in the restaurant side. The bar area was very busy but only a few tables were busy for dinner. I would say that I would go back. I do believe that the waiter made a difference. He did a great job serving his house and also providing all our needs.,JZdv2hMgNXiktNXSyKUSKw,2021-06-26 19:19:41,Y8djj3w2NPUkR5PoXwM4cA,3,Ed
