business_id,name,ranking,score, city,latitude,longitude,address
zaeNGZfmOiBzGVqGhRfX3w,Le Caveau,1,4.386798077,Philadelphia,39.9417309203,-75.1541846618,"614 S 7th St"
"6IwF2rpoaiR_W6DzOvuceA",Victory Brewing Company Philadelphia,2,4.281089045,Philadelphia,39.9561946841,-75.1689851604,"1776 Benjamin Franklin Pkwy"
D0uoz1yQR10Knf_N_TCJ9g,Musette,3,4.271664093,Philadelphia,39.9690246,-75.1781931,"2441 Aspen St"
zvvl3c1FO3O3BZdhusficA,LMNO,4,4.135559916,Philadelphia,39.976014,-75.133752,"1739-49 N Front St"
VG4yVFNX7B-iONzZlLd-Fw,Izakaya By Yanaga,5,4.1171584,Philadelphia,39.9779193285,-75.1315421239,"1832 Frankford Ave"
LaTe2iIyih62D1kCQ0hflA,La Chinesca,6,4.109335348,Philadelphia,39.9614139091,-75.1560202986,"1036 Spring Garden St"
xOeBBrc2l5OfjX_cY4bIvA,Sor Ynez,7,4.09130308,Philadelphia,39.9786174929,-75.1396162445,"1800 N American St"
"2PX8MOkN6cPG7-gte7IpIQ",Mimi’s Cafe & Market,8,4.088575182,Philadelphia,40.0769274956,-75.2064291547,"184 E Evergreen Ave"
"55X3tkJf7TJGdOOHOIxGag",Kyushu Ramen & Sushi,9,4.08013222,Philadelphia,39.9386887,-75.1577701,"907 S 9th St"
Waz1bXpzTgfB9DOouGjJ2Q,Midori Sushi,10,4.013146956,Philadelphia,39.9423842,-75.1507361,"516 S 5th St"
