business_id,name,ranking,score, city,latitude,longitude,address
DadnCMDdFEct8m4rf5H9YA,The Jackrabbit Lounge,1,4.321760281,Tucson,32.2463566183,-110.9777080663,"2000 N Oracle Rd"
fNidADY3MgFJaOBzUvm1bg,Fat Willy’s Clubouse,2,4.258182669,Tucson,32.0920025935,-110.8371410709,"8701 S Kolb Rd"
kxvW5Mfebywb0L1HTHdX3g,Buendia Breakfast & Lunch Cafe,3,4.223381456,Tucson,32.2530082247,-110.9605596,"2530 N First Ave"
UWj1wJFLWCfqVN3Z6gg2DA,Red Light Lounge,4,4.199396077,Tucson,32.2152497,-110.9697339,"485 S Stone Ave"
"8dZbYgJxNgKd9G3kHWmQ6w",Frida's Cafe,5,4.127469312,Tucson,32.2497514392,-110.8740422463,"5526 E Grant Rd"
BOeBIWjryCt0EyrlAeqTMA,Meyer Avenue Cafe,6,4.107992543,Tucson,32.2166338,-110.9729938,"353 S Meyer Ave"
rEeNRMhsz_XMoyFHhcLhxw,La Chingada Cocina Mexicana,7,4.011748324,Tucson,32.2231151448,-110.9692217,"110 E Pennington St"
Q28TlneXws1shf8ymTdxtg,Funland Raspados And Munchies,8,3.987789248,Tucson,32.2511453516,-111.0123500904,"2100 W Grant Rd, Ste 110"
Ruc9mHL5JkOE6PHWghx2gQ,El Mezquite Grill & Taqueria,9,3.971061168,Tucson,32.2171325135,-110.9732703939,"280 S Church Ave"
tpvHimO4BBn1QMPQL02B7A,Barrio Charro,10,3.962696452,Tucson,32.273821,-110.9444336,"3699 N Campbell Ave"
